SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,LatLng
52111,601 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.022751, -118.281607)"
52112,601 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.022784, -118.281686)"
52113,601 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.02281, -118.281741)"
52114,601 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.022843, -118.281815)"
52115,601 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.022871, -118.281876)"
52151,1001 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025598, -118.288464)"
52152,1001 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025599, -118.288525)"
52153,1001 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.0256, -118.288619)"
52154,1001 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025599, -118.288679)"
52155,1001 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025599, -118.288775)"
52156,1001 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025598, -118.288837)"
52157,1001 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025599, -118.288932)"
52158,1001 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025598, -118.288992)"
52159,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025597, -118.289073)"
52160,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025601, -118.289269)"
52161,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025599, -118.289329)"
52162,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025599, -118.289425)"
52163,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025598, -118.28949)"
52164,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025596, -118.289574)"
52165,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025597, -118.289637)"
52166,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025596, -118.28973)"
52167,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025598, -118.289796)"
52168,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025597, -118.289891)"
52169,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025597, -118.289954)"
52170,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025597, -118.290043)"
52171,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025598, -118.290109)"
52172,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025597, -118.290204)"
52176,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025596, -118.290518)"
52177,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025598, -118.290582)"
52178,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025598, -118.290667)"
52179,1101 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025597, -118.290728)"
52201,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025397, -118.290872)"
52202,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.290812)"
52203,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025397, -118.290715)"
52204,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.290653)"
52205,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.290563)"
52206,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.290498)"
52207,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.290409)"
52208,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025399, -118.290345)"
52209,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025398, -118.290254)"
52210,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025399, -118.290192)"
52211,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.0254, -118.290086)"
52212,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.0254, -118.289758)"
52213,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025399, -118.289698)"
52214,1100 W JEFFERSON BLVD,Multi-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,,"(34.025399, -118.289612)"
